Тема,label
"Не меняется выбранный раздел в меню в соответствии со страницей, на которой мы находимся.",10
Не работает бизнес-правило,5
Медленная загрузка VCS списка,11
Падает исключение при запуске события,10
Outgoing Mail Pending Average CRITICAL! - home.simpleone.ru,10
Проблема с отображением поля ,8
Неверный порядок нод в дереве,10
Результат выполнения скрипта модели остаётся для другой модели - применение рекомендации из INC0005362. ,10
"При подключении к почтовому релею заказчика, при включенной опции TLS, соединение не проходит",10
Сбой загрузки пакетов обновлений Simple Application,7
"Виджет интерпретирует ввод, вместо отображения, см. скриншот",10
не работает query для поля с типом float,8
Ixcellerate test - ошибки после обновления,7
Дефект верстки? нет скролл-бара в многострочном поле,8
INQ Обращение после обработки выподают к статус не из списка (0),11
Не работает сгенерированный пароль у партнёра.,5
Неизменяемая ACL,10
Просим сообщить креды к тенду,10
Дублирование создания REQ от INQ,10
"Нет доступа к разделу ""Модели услуг"" при выданных ролей для его отображения",3
Перестала отправляться почта,10
Проблема с обновлением с версии Platform 1.12.3,7
Free frontend disk 5% /var,10
Инцидент на https://demo.simpleone.ru/,10
перезапуск контейнера attachment_index ,10
не корректные уведомления,10
Не открывается окно выбора конфигурационных единиц,10
Логотип SimpleOne сделали невидимым,10
Неправильный ресайзинг логотипа при брэндировании домашней страницы,10
Опять не работает формирование опций на основе таблицы. Переводы есть для всех языков.,5
"Не работает тег ""conditions""",5
Пользователь не подтянулся,10
Не приостанавливается индикация SLA,9
Outgoing Mail Percent Completed and Error CRITICAL! - home.simpleone.ru,10
Outgoing Mail Percent Completed and Error CRITICAL! - home.simpleone.ru,10
Не работает скроллинг страниц на мобильных устройствах,5
"Нет возможности редактировать коробочное бизнес-правило
Generate Name for CMDB Model",10
INQ создаются от Admin User по почте,10
Результат 504 при группировке на большом количестве записей в списочном виде.,10
Смена статуса при назначении исполнителя,10
Не проставляется автоматически Contact Type при создании обращений,10
Потенциальный клиент не может зайти для ознакомления с roadmap,10
Отображение в модальном окне. ,10
Нет приложения ITSM после установки.,10
"Отсутствуют временные данные в табличном представлении задач по выполнени. Атрибуты пустые, не заполненные!",10
Некорректно работает переход на предыдущую страницу портала,5
Проблема доступа к инцидентам на стенде demo,3
"Не работает обновление 1.13.2 - 1.15.1, лог во вложении",7
Не работает мониторинг событий - некорректно разбирается JSON,5
Ошибка при запуске backend контейнеров,1
test do not touch please,10
Некорректная работа признака Coalesce,0
Некорректная работа виджета Portal Navigation Arrow.,0
"Поля Agent Satisfaction, Service Satisfaction не должны появляться на агентских формах обращений",6
Формирование обращения через Каталог услуг,10
Происходит зависание обновления статусов по интеграции,7
SLA. Пересчет времени превышения после просрочки.,10
Не приходят оповещения на портале home,10
Работа планировщиков,0
RE: Доступ к порталу SimpleOne,3
Проблема с ADFS,10
Не все уведомления отправляются при соблюдении условий.,10
Не открывается форма на Change request на портале. (страница 404),6
Признак Unique на поле ,8
Не корректная работа фильтра листа,0
"При открытии поля связанные инциденты ошибка ""Не удается получить доступ к сайту""",3
"""Обрезка"" половины строки в карточках каталога на портале",10
502 ошибка на продукционном окружении,1
"При попытке редактировать Field Map после внесения всех изменений и нажатия кнопки Set удаляется последняя строка трансформации вместо добавления новых строк. Приходится удалять все строки и создавать Field Map с нуля, только тогда нормально сохраняется. Либо добавлять строки по одной с помощью кнопки New.",10
Проблема с доступами / ролями,3
Новая запись в таблице Employee с помощь запроса по REST API.,10
Дефект на форме заведения контакта,6
ВМ с minio стали грузить диск в кластере,10
Изменение владельца,10
Индикация,9
Ошибка выборки через API (SimpleRecord),1
REM Service Catalog. Не работает сокрытие категорий/моделей запросов для пользователей.,5
На портале самообслуживания choice поле настроенное на таблицу не выводит значения.,8
Не наследуются роли посредством Group Contains,10
критичный инцидент с вложениями в почте (INC0005406 Вложения по почте не приходят в обращение),10
Подключение стандартного мониторинга к prometheus,10
Ошибка при оправке письма для смены пароля,1
"Нет возможности отредактировать карточку партнёра (созданную мною)
Onellect",10
Ошибка при проверке ansible-playbook для PROD среды,1
Установка SimpleOne 1.1.5 on-Premise,10
Не создается письмо по правилу уведомления,10
Установка S1,10
Некорректная обработка скрипта ACL,10
Пользователь не может восстановить пароль,10
Автоматическое завершение изменения,10
Проблема с настройкой вида SP View Only после применения пакета ITSM 1.7.0 ,10
Вложения по почте не приходят в обращение,10
Некорректное создание записей в истории изменения полей,8
Не работает инструкция по ребрендингу logo,5
восстановить отображение Title в таблице Employee (User),10
"При создании инцидента в историю не попадает значение поля Статус, если его значение равно значению ""по умолчанию""",10
"На экранной форме объектов inc и req скрывается поле ""Тема"" ",6
Отчеты типа список,11
Не удается закрыть объект по кнопке ошибка 504,1
Проблема с доступом к порталу поддержки simpleone,3
список IP адресов,11
Экземпляры обучения educ22aug* удалены без предупреждения!!!,10
Не добавляются вложения.,10
Ошибка при проверке перед установкой дистрибутива,1
Не работает метод setPreference(),5
Не работают кнопки,5
Невозможно создать report вида List,10
Ошибки при внесении изменений в атрибуты,1
"После деплоя тестовые инстансы demo03-stage.dev.simpleone.ru, infra02.dev.simpleone.ru не работают - Error 503 Service Unavailable",4
Дублирование пользователей после импорта из AD,10
нужно решение по INC0005376,10
Проблема с отображением модели услуги,10
Изменение участников групп,10
Сокращение времени обработки входящих писем.,10
"Переход по ссылке ""Отклонить"" (reject)",10
Не все пользователи импортируются из AD в S1,10
Проблема с импортом пользователей,10
доступ у кастомной роли до системных полей,3
после закрытия INC0005337 поисковые индексы так и не создались,10
 на стенде не работает визуализация связей КЕ для новой CMDB2.0 с REM  моделью,5
Множественные записи об обновлении SLA Due в истории ,7
404 ошибка при попытке выбрать дэшборд Dashboard Service Desk,1
Сортировка по полю photo вызывает ошибку,8
Server error при открытии листа,10
Не можем создать/обновить сотрудника без email.,10
Интеграция с системами мониторинга,10
При создании запроса получаю ошибку,1
Некорректная работа Column Style Rule,0
количество знаков после запятой в агрегирующей ячейке отчета,10
Не работает s_form.save().finally(__resolveServerResponse);,5
Результат выполнения скрипта модели остаётся для другой модели,10
После обновления до 1.15 сломался виджет Действия по задаче на форме запроса,6
Объединение данных в импорте регистрозависимое,10
Обновление платформы,7
Не работает инстанс,5
Не работает инстанс,5
Не работает инстанс,5
Не работает инстанс,5
Нет возможности восстановить версию.,10
Нет доступа к экземпляру,3
Некорректная смена пакета из-за простоя системы,10
Упал инстанс,5
В продолжении INC0005335,10
Настройка SSO - ошибка,1
Ошибка при добавлении к роли дополнительной роли,10
Добавление Related list в кастомную view,10
Очень сильное падение производительности,10
Копятся ошибки Missing Required parameters: query,1
Работа календаря на индикации,9
Не обновляется атрибут SLA Breached в таблице инцидентов,10
502 ошибка на продукционном окружении,1
Не запускаются индикации на deve и в проде,9
Подвисает продуктивный стенд,10
Не создался поисковый индекс.,10
Problem: /: Disk space is critically low (used > 90%) Host: MSK-ITSM-DB-01,10
Выгрузка в excel большого количества записей SimpleOne,10
Заведомо ложная информация на портале Home,10
"Сортировка пунктов в разделе ""Мои обращения""",10
дефект при заведении контакта из связанного списка,11
Не работает экземляр,5
Обновление сертификата,7
"после настройки почты согласно инструкции, к сожалению, отправка писем не происходит. ",10
Не отрабатывает s_widget.getFieldValue для полей htmlEditor,8
Не устанавливается релиз 1.15.3,10
"Валидация уникальности поля ""Номер"" не отработала.",8
Не завершается импорт,10
Проблема создания записи и просмотр старых,10
SLA. Задержка 2 часа перед созданием индикации.,9
не отображается фавиконка в браузере,10
Зависает при работе продуктивный стенд ,0
Добавление Related list в кастомную view,10
Не удаётся зайти на экземпляр.,10
Полная неработоспособность всех инстансов + https://home.simpleone.ru/,5
Дублирование индикаций,9
🔥 500 CAN'T CONNECT TO HOME.SIMPLEONE.RU:443,12
Низкая производительность инстанса,5
доступ к сервисам,3
Не работает readBase64(attachmentId) у SimpleAttachment,5
Работа с WF,0
Ссылочные поля в Safari,8
Уведомление без silentMode,10
Неверное отображение колонок на портале,10
Не создаются индикации на инстансе,9
Не отображаются подсказки в атрибутах новых моделей ,10
Ошибка дашборда главной страницы,1
Тормозит Дев,10
Не удаётся настроить отображение комментариев в виджете AF на странице портала view_task,10
Не отрабатывает расчет показателей в индикаторе SLA,10
SAML авторизация,10
Некорректная работа индикаций,9
Изменение участников групп,10
svg не корректное отображение ,10
Не работает выгрузка в эксель,5
Формы подачи обращений на портале - многострочное поле Тема,6
"Виджет (модальное окно) отмены запроса на изменения, проблемы с кнопкой и рефрешем",10
Падение производительности системы. Высокая нагрузка на диск СУБД,10
Чувствительность к регистру в бизнес правилах,10
не открывается портал - пишет ошибка 503,1
"Ошибка, Неактивный атрибут в модели запросов",1
"Некорректность выполнения Workflow ""User-approval Activity"" в части условия согласования.",10
Вставка таблицы через локальный пакет,10
Кнопка выхода из задачи,10
Определитель ссылок,0
Свободная память на серверах storage < 25%,10
Ixellerate - нумерация в таблицах.,10
Получаю ошибки при глобальном поиске,1
неактуальный портал,10
"категория ""рабочее место""",10
В инцидентах home сделать поле instance обязательным,8
s_form is not defined на клиентском скрипте виджета,10
Продолжение INC0005165,10
Происходит пересчет времени превышения индикатора при смене этапа.,10
Невозможно сохранить изменения в Rem-атрибутах,10
Не работают клиентские скрипты,5
Виджет оценки на портале,10
Пользователи без ролей не могут узнать какая версия платформы на их экземплярах,10
Outgoing Mail TTL CRITICAL! - home.simpleone.ru,10
уровень доступа для ITSM agent на prod отличается от dev,3
По инциденту INC0004696 дополнение. Добавили скрин пожелания заказчика,10
Не вижу свой закрытый инцидент на Home портале,10
Некорректная работа добавления атрибута через класс CMDB,0
Размещение KB статей в нескольких категориях сразу,10
Ошибка интеграции с Telegram,1
продуктив алросы лежит - 500 ошибка,1
"В списке связанных репортов при редактировании дашборда отображаются ID записей, а по идее должны названия",11
При попытке выгрузить список с большим количеством записей ошибка 504,11
Отображение языка в history записях Activity Feed,10
Не корректная ссылка в нотификации от TG бота,0
Проблема с отображением модели услуги,10
Проблема с sys_id при экспорте данных в Excel,10
Ixcellerate - мобильное приложение iOS,10
Не могу сохранить подключение SAML,10
Нет доступа к инстансу https://demo-turism.simpleone.ru/,3
Выбор из списка,11
В полях отображаются ID вместо наименований выбора,8
Ixcellerate - ошибка в URL избранного при добавление целого раздела,1
Отображение данных в отчете,10
Дублирование текста на в поисковой выдаче на портале,10
"При настройке клиентского скрипта с флагом inherited на уровне itsm_task и указании дополнительно условия для дочерних таблиц, клиентский скрипт не отрабатывает",10
"Устранение проблемы с отсутствием перевода в ""Short description"" на ""плитках"" портала самообслуживания ""Задать вопрос"" и ""Создать инцидент"" на всех партнерских экземплярах песочниц и демо",10
Виснет продуктивный стенд,10
метод hasRole,10
Клонирование площадки ,10
SimpleTag Card,10
Не открывается REQ0011251 на https://home.simpleone.ru/ssp,10
"Не всегда отображается контент в секции ""Связанные объекты"".",10
Коллизия с SQL ошибкой при импорте модуля управления событиями,1
Работа с портальными контекстами,0
Проблема с Bread Crumbs Widget,10
В документации нет описания параметра simple.email.smtp.active,10
Не корректная работа скриптов,0
Не создаются индикации на инстансе,9
SLA не ставится на паузу ,10
Долгое время открытия страницы /related-list-edit/,10
Проблемы с целостностью,10
Отсутствуют экземпляры системы в форме,6
Получение display_value через REST,10
"Ошибки при работе с ""Доска задач"" ",0
"На портале самообслуживания отображается дата создания объявления, вместо даты публикации",10
Виджет бокового меню и хлебных крошек не учитывает значения атрибутов categorySubject и itemSubject из тега Category,10
Не добавляется комментарий через REST для таблицы itsm_inquiry. Для itsm_incident все работает корректно,5
Предоставление demo стенда,10
После обновления на ITSM 1.7.0 невозможно на портал вывести форму для редактирования заявки.,6
Сохранение роли у сотрудника,10
Обновление логотипа и иконки вкладки,7
Недоступен экземпляр https://sandbox01.simpleone.ru/ ,10
Перенос БД с продуктовой среды на дев. ,10
Brand logo button,10
"REST. Указание sysparm_display_value, не важно, true или false, равносильно указанию sysparm_display_value=true.",10
Отправка сообщений от неактивного почтового аккаунта,10
Не корректная работа SLA,0
Деактивировать Is VCS Enabled,10
SimpleAjax добавляет данные ss.info в тело ответа,10
Отсутствуют экземпляры системы при заведении запроса на обновление стенда,7
Недоступен выбор экземпляров в заявке на обновление версии,7
🔥 500 INTERNAL SERVER ERROR,10
🔥 500 INTERNAL SERVER ERROR,10
Нет перевода на portal view_task,10
Видимость кнопок на портале у конкретного пользователя,10
onSumbit при return false,10
Проблема с отображением атрибутов модели в унаследованной таблице.,10
"Открываю https://home.simpleone.ru/record/safe_simple_product_improvement_request/166263463913660029
получаю ошибки. Скриншот во вложении",1
"Не работает фильтр "" Код закрытия"" с выбором ""--Нет--"". Пропадает выбор ""--Нет--"" после нажатия кнопки ""Применить""",10
Ошибка в работе шаблона,0
У пользователя не отображаются заголовки связанных списков,11
Ixcellerate - table API не возвращает display_value при использовании параметра sysparm_display_value,10
Описания плиток на главной странице портала без переводов,10
Комментарии в заявках моей компании,10
502 ошибка при согласованиях,1
Прошу сбросить пароль для admin,10
Не работает фильтрация каталога,5
Уведомления,10
Не работает тег conditions,5
model client script запускает SimpleAjax запрос игнорируя условие,10
"Нарушена работа таблицы ""Запросы на изменение""",0
Серверное время на прод и дев стендах на 7 минут вперед,10
Из интернета не открывается тестовый стенд sd-test.ru,10
Не работает метод readBase64 у SimpleAttachment,5
Просьба восстановить display by ref для колонки name в КЕ,10
Нет переносов строк в поле Описание в виджете отображения инцидента на портале (в том числе и в версии ITSM 1.7.0),8
Импорт пользователей из Active Directory ,10
некорректно работает сортировка,5
"При обновлении объекта из бизнес правила, получаем в лог ошибку - ""The \""Updated at\"" [sys_updated_at] field is read-only.""",7
Нет возможности откатить клиентский скрипт на прежнюю версию,10
Не работает скрипт,5
Некорректная работа группировки связанного списка,11
Ошибочное сообщение об ошибке,1
Скрипты по расписанию с одинаковым временем запуска запускаются последовательно (не могут выполняться параллельно) - REQ0010957,10
Копится очередь событий,10
Позднее создание индикаций,9
В тасках не заполняется поле  SLA Breached,8
Нет связности с почтовым ящиком,10
Не отображается лого в агентском интерфейсе,10
Добавление вложения к записи и вызов метода hasAttachment(),10
"Нам пишут, что инстанс уязвим перед атаками click jacking",5
не отображается картинка в новости на портале ,10
Отсутствует поисковой индекс для моделей запросов,10
При выгрузке данных в Excel в ID обнуляются последние 4 цифры (скрин во вложении),10
"При сортировке по полю ""Срочность"", инциденты/задачи со значением --нет-- отображаются в верху списка",11
"После смены домена, пропали лого и фавикон интерфейса исполнителя",10
Невозможно авторизоваться в системе,10
Открыть доступ к модулю трудозатрат,3
Не отображаются кнопки,10
Не отображается логотип свойства ui.branding.logo,10
Ошибка при импорте данных из файла,1
"""Слетает"" выбранный локальный пакет на дефолтовый внутри приложения",10
Не меняется график при изменении среза,10
Отсутствует перевод в отчетах,10
не отрабатывает клиентский скрипт,10
Затёрлись комментарии,10
"После завершения блока согласований с условием Approved When = Anyone to approve оставшиеся Requested согласования не переходят в статус Canceled, что приводит к массе неактуальных согласований в статусе Requested",10
Подвисает при работе прод,0
Test! прошу дропнуть и отписать в телеграм группу о получении,10
Inquiries -> User Queries,10
Не отрабатывают клиентские скрипты на форме через портал,6
Некорректная работа условия отмены индикатора.,0
ACL на изменение колонки,10
"input type=""file"" не отображает корректно",10
Ошибка при переходе к записи из портала,1
Не корректно настроен S3?,10
"Ошибка 404 при значении Option содержащим символ ""/"".",1
Ограничение временной шкалы Календаря изменений,10
теги в activity feed,10
Проблема с вложениями из писем,10
нет возможности редактировать Контроль доступа (ACL),3
Не работает prod после установки,5
Сбрасывается значение assignment group,10
"Пропали изображения,вложения не открываются",10
"В облачных и он прем инстансах не настроена ротация логов docker, из за чего возникает переполнение логов.
На скриншоте пример рабочего обходного решения.",5
Изменился параметр display_by_ref в таблице пользователей с dispay_name на sys_id. Просьба вернуть обратно (стандартными средствами восстановить запись не удается),10
RangeError: Maximum call stack size exceeded,10
Некорректная Обработка записей sys_event  (SD0028277),10
Экспорт обновлений,7
Не исчезают уведомления при переходе между страницами,10
Спам сетевыми запросами,10
Не работает сипл тег conditions? ,5
Невозможно создать SAML-запись,10
Поле SLA нарушено проставляется от имени пользователя,8
Кто увеличил воркеры?,10
Поля даты при выгрузке,8
telegram bot,10
Работа с отчетами ,0
🔥 500 CAN'T CONNECT TO HOME.SIMPLEONE.RU:443,12
🔥 500 CAN'T CONNECT TO HOME.SIMPLEONE.RU:443,12
Нелокализованное сообщение на странице авторизации,10
Проблема с отображением виджетов после обновления,7
Устаревшие демоданные при на экземпляре sandbox,10
Индикации/Предельный срок,10
Запустились два индикатора одновременно,10
При разработке локальный пакет постоянно слетает,10
Нет возможности править атрибуты в инцидентах,10
При открытии листового представления списка с большим количеством колонок система зависает.,11
Не открываются связанные списки по таблицам с большим количеством записей.,11
Проблема безопасности,10
Ошибки при открытии реквеста,1
Не срабатывает правило ACL,10
"Не создается запись согласования на сотрудника, если он определяется скриптом в операции User-approval",10
Часть кнопок скрывается при имперсонации под другим пользователем и появляется только после перезагрузки страницы,10
Отображение иконки закрепления бокового меню,10
У клиента падает 500 ошибка,1
Ошибки при импорте пакета,1
Ошибка выборки для BI,1
Нет возможности зарегистрировать запрос,10
"Не работает клиентский скрипт ""При редактировании ячейки""",5
"Не заполняется атрибут ""Срок по SLA""",10
Некорректная работа системы,0
не уходят письма на проде алросы. срочно!,10
Ошибка при загрузки  ,1
Отображается один таск 2 раза,10
"При настройке ограничения в allowed_upload_file_extension, нет возможности загрузить sop файлы. Даже если в свойствах sop разрешен.",10
Не работает выгрузка в эксель,5
"Периодически не работает поиск в референсном поле, ввод данных не вызывает всплывающие предложения.",8
не работает SMTP на инстансе,5
Время ответа сервера на rest запрос более 20 секунд.,10
Схемы в эксплуатационной документации 1.14.2,10
Не отображается логотип и иконка,10
Отчетность. Выгрузка в Excel. При попытке сделать группировку по датам группировка не срабатывает,10
При попытке выгрузить список с большим количеством записей ошибка 504,11
"Помощник для настройки Field Maps работает со сбоями. Проще руками все настройки внести, чем пользоваться помощником.",5
НЕкорректное отображение данных в таблице,10
AD,10
В Правилах уведомлений нет приложения ,10
Ошибка после исправления инцидента,1
Проблема с полями,8
 в таблице sys_notification_rule  отсутствует отметка в Контроль версий,10
Некорректная работа опции fixedCondition для тега <Listitems>,0
Долго открывается боковое меню при переходе по прямой ссылке и при открытии формы каталога услуг из бокового меню . ,6
Замена таблицы,10
Не возможно настроить форму конфигурационной единицы,6
"Отчетность. Группировка по часам. Данные формируются со сдвигом на 3 часа относительно ""Открыто в""",10
Дефекты в механизме SLA,10
Импорт данных не позволяет обновить записи из-за ACL. Сообщение в логе sys_log вида ACL Permissions | Warning | Unable to update the [resolved_at] field in the [itsm_incident] table because of the ACL restrictions,10
"Нет возможности выставить статус information needed, так как статус автоматически возвращается в assign",10
Перегрузки на серверах ITSM,10
FW: Проблемы с рассылкой SSRS 11/09/2022,10
Часть уведомлений переходит в статус failed,10
Непонятное сообщение об ошибке,1
Пользователь без ролей может прочитать любую учётную запись User [user] на экземпляре,10
Пользователь без ролей может удалить запись портала /portal,10
Приходит непонятная нотификация,10
Слетают стили домашней страницы,10
Просьба отключить коробочное правило,10
"При увеличении sysparm_limit в GET запросе некорректно работает постраничный вывод. Если использовать стандартный лимит в 20 значений, оффсет отрабатывает корректно.",5
"При быстром импорте Quick Import в таблицу Employee [employee] игнорируется уникальность для значений в полях Login [username], Email [email]",8
ломается вёрстка,10
Нет возможности обновить кастомное поле для технических учеток Guest User и System User,8
Скрипт СhildACL,10
Логи ошибок импорта данных через LDAP,1
 Нет доступа к демо-стенду Т1 по адресу https://esm.t1-integration.ru/ ,3
"Выгрузка ""больших"" данных ",10
"Инстанс лежит, 503, завтра с утра демонстрация",10
Работа по условиям уведомления,0
"Не открывается каталог услуг, ошибка 504",10
Некорректная работа reference qualifier,0
Reference поля не обрабатываются виджетом.,8
ошибка при попытке открыть сгруппированный список itsm-task,11
не работает multipart form data в REST метод POST,5
некорректное (устаревшее) название категории элементов поиска Inquiry должно быть User Query,10
Не отображается display value записи в зависимости от языка интерфейса.,10
Дата в устройствах Apple,10
Не подключиться к AD для авторизации пользователя при использовании протокола ldaps,10
Ошибка 500 при выполнении Get запроса с параметром sysparm_display_value=true,1
В коробочном виджете при пагинации рендерится вся страница.,10
Невозможно вложить файл,10
Некорректное получение данных при выполнение Get запроса,10
Перестали индексироваться объекты ( в частности речь идет об инцидентах),10
"После перевода в статус Требуются уточнения пришло 3 оповещения, хотя по истории вижу 1 действие.",10
Не отрабатывает загрузка пользователей из AD ,10
Outgoing Mail Percent Completed and Error CRITICAL! - home.simpleone.ru,10
Не корректная  работы правой клавиши мыши в листовом представлении,0
"Исходящие письма зависают в статусе ""Готово к обработке""",10
"500 ошибка, прод!",1
Тестовое обращение в нерабочее время,10
Тестовый инцидент в нерабочее время,10
Не может выполнить вход,10
"Наименование часового пояса не меняется, несмотря на локализацию. ",10
Рабочие заметки/комментарии на формах со списком,6
Частично не регистрируются письма в системе,10
Ошибка при экспорте в Excel,1
Тестовый инцидент в нерабочее время (3),10
Тестовый инцидент в нерабочее время,10
Инцидент в нерабочее время,10
Тестовый инцидент в рабочее время,10
Ошибка при получении вложения из скрипта,1
Не формирует письмо при опечатке,10
На remform не отображается кнопка save,10
ивенты зависают в ready,10
При перетаскивании фильтра с листа в избранное не сохраняется condition,10
Невозможно очистить значение в поле Choice,8
При попытке авторизации через Keycloak попадаю на 405 Not Allowed,10
SQL Ошибка,1
Не работает группировка отчета на дашбордах.,5
Поиск по документации SimpleOne,10
перестал работать импорт,5
Экранирование спец символа одинарная кавычка,10
Не работает sysparm_display_value,5
Ошибка при переходе по ссылке через UI Action,1
Отображение данных,10
Отображение данных,10
медленное обновление таблицы поиска. ,7
Недоступность продуктивного стенда ,10
Табуляция не всегда пропускает readOnly поля и не работает для Date и Datetime полей,8
